mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_model__dropout_rate1,param_model__dropout_rate2,param_model__dropout_rate3,param_model__kernel_regularizer_type,param_model__learning_rate,param_model__optimizer_name,param_model__kernel_regularizer_strength,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
108.11932480335236,26.35946762561798,0.1656198501586914,0.007000446319580078,4,300,0.1,0.1,0.1,,0.001,adam,,"{'batch_size': 4, 'epochs': 300, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.001, 'model__optimizer_name': 'adam'}",0.8380952380952381,0.9142857142857143,0.8761904761904762,0.03809523809523807,63
142.0443205833435,1.672635793685913,0.15926826000213623,0.0016902685165405273,4,300,0.1,0.1,0.1,,0.0005,adam,,"{'batch_size': 4, 'epochs': 300, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.0005, 'model__optimizer_name': 'adam'}",0.8476190476190476,0.8857142857142857,0.8666666666666667,0.019047619047619035,78
61.44902300834656,10.236030340194702,0.16921532154083252,0.0017031431198120117,4,300,0.1,0.1,0.1,,0.005,adam,,"{'batch_size': 4, 'epochs': 300, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.005, 'model__optimizer_name': 'adam'}",0.8285714285714286,0.9428571428571428,0.8857142857142857,0.057142857142857106,56
27.210851907730103,0.0533604621887207,0.14500808715820312,0.007802724838256836,8,100,0.1,0.1,0.1,,0.001,adam,,"{'batch_size': 8, 'epochs': 100, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.001, 'model__optimizer_name': 'adam'}",0.8857142857142857,0.8666666666666667,0.8761904761904762,0.00952380952380949,63
28.512285709381104,0.7086620330810547,0.14076578617095947,0.002169489860534668,8,100,0.1,0.1,0.1,,0.0005,adam,,"{'batch_size': 8, 'epochs': 100, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.0005, 'model__optimizer_name': 'adam'}",0.780952380952381,0.7428571428571429,0.7619047619047619,0.019047619047619035,151
26.818073630332947,1.7335654497146606,0.1392909288406372,0.0035294294357299805,8,100,0.1,0.1,0.1,,0.005,adam,,"{'batch_size': 8, 'epochs': 100, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.005, 'model__optimizer_name': 'adam'}",0.9047619047619048,0.9428571428571428,0.9238095238095239,0.019047619047619035,16
40.89229238033295,0.7293974161148071,0.14270496368408203,3.075599670410156e-05,8,150,0.1,0.1,0.1,,0.001,adam,,"{'batch_size': 8, 'epochs': 150, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.001, 'model__optimizer_name': 'adam'}",0.9238095238095239,0.9142857142857143,0.9190476190476191,0.0047619047619048005,21
41.142287611961365,0.16029727458953857,0.13986730575561523,0.002180814743041992,8,150,0.1,0.1,0.1,,0.0005,adam,,"{'batch_size': 8, 'epochs': 150, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.0005, 'model__optimizer_name': 'adam'}",0.8857142857142857,0.8761904761904762,0.8809523809523809,0.004761904761904745,58
41.586130023002625,0.15144765377044678,0.13899707794189453,0.002554178237915039,8,150,0.1,0.1,0.1,,0.005,adam,,"{'batch_size': 8, 'epochs': 150, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.005, 'model__optimizer_name': 'adam'}",0.9428571428571428,0.9333333333333333,0.9380952380952381,0.004761904761904745,7
54.97998654842377,0.8300203084945679,0.13534319400787354,0.002209305763244629,8,200,0.1,0.1,0.1,,0.001,adam,,"{'batch_size': 8, 'epochs': 200, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.001, 'model__optimizer_name': 'adam'}",0.8857142857142857,0.9142857142857143,0.8999999999999999,0.01428571428571429,45
55.400161266326904,0.8274860382080078,0.14182400703430176,0.0015339851379394531,8,200,0.1,0.1,0.1,,0.0005,adam,,"{'batch_size': 8, 'epochs': 200, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.0005, 'model__optimizer_name': 'adam'}",0.8857142857142857,0.9142857142857143,0.8999999999999999,0.01428571428571429,45
31.565844416618347,11.192957997322083,0.1393721103668213,0.0024580955505371094,8,200,0.1,0.1,0.1,,0.005,adam,,"{'batch_size': 8, 'epochs': 200, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.005, 'model__optimizer_name': 'adam'}",0.9428571428571428,0.8571428571428571,0.8999999999999999,0.04285714285714287,45
69.43798065185547,0.20097732543945312,0.14045536518096924,0.0024176836013793945,8,250,0.1,0.1,0.1,,0.001,adam,,"{'batch_size': 8, 'epochs': 250, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.001, 'model__optimizer_name': 'adam'}",0.8857142857142857,0.9047619047619048,0.8952380952380952,0.009523809523809545,50
66.89248418807983,2.071218252182007,0.13767099380493164,0.00036406517028808594,8,250,0.1,0.1,0.1,,0.0005,adam,,"{'batch_size': 8, 'epochs': 250, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.0005, 'model__optimizer_name': 'adam'}",0.9047619047619048,0.8857142857142857,0.8952380952380952,0.009523809523809545,50
36.10788893699646,4.288127660751343,0.13885068893432617,0.0024416446685791016,8,250,0.1,0.1,0.1,,0.005,adam,,"{'batch_size': 8, 'epochs': 250, 'model__dropout_rate1': 0.1, 'model__dropout_rate2': 0.1, 'model__dropout_rate3': 0.1, 'model__kernel_regularizer_type': None, 'model__learning_rate': 0.005, 'model__optimizer_name': 'adam'}",0.9428571428571428,0.9523809523809523,0.9476190476190476,0.004761904761904745,3
