feature_source,num_input_features_for_gs,best_cv_score_grid,fixed_early_stopping_patience,grid_search_duration_minutes,final_model_train_duration_seconds,best_param_batch_size,best_param_epochs,best_param_dropout_rate1,best_param_dropout_rate2,best_param_dropout_rate3,best_param_kernel_regularizer_strength,best_param_kernel_regularizer_type,best_param_learning_rate,best_param_optimizer_name,final_metric_accuracy,final_metric_num_selected_features,final_metric_training_time_seconds,final_metric_fixed_early_stopping_patience
bda,19,0.9571428571428571,25,288.9921649535497,80.45734167098999,8,200,0.1,0.1,0.1,0.001,l2,0.005,adam,0.9111111111111111,19,80.45734167098999,25
bpso,24,0.9476190476190476,25,282.6106771628062,70.86790657043457,8,150,0.1,0.1,0.1,0.001,l2,0.005,adam,0.9777777777777777,24,70.86790657043457,25
